feature,importance
tavg,0.13174845872427138
precio_dolar,0.118488888580315
tmax,0.09817936159160355
wspd,0.08567768340705985
day_of_year,0.0846205417352709
temp_range,0.0797885704057561
tmin,0.07374300344779065
pres,0.05186106079091281
prcp,0.0469688945514079
day_of_month,0.03703289345847431
dia_mes,0.035694098122537855
semana_año,0.02243686231194455
dia_semana_sin,0.019584298511794485
day_of_week,0.013985115205439555
dia_semana_cos,0.01176244321878933
mes_cos,0.01130935199644906
is_payday,0.010934173364390856
dia_semana,0.010058136328275262
mes_sin,0.009877785114045556
is_benefit_payment,0.009595087637997763
dolar_alto,0.008019984948874523
month,0.005803398683315927
mes,0.005359418523114413
es_viernes,0.0051363559898194066
trimestre,0.004005020322832012
es_lunes,0.0035689885040156772
es_fin_semana,0.0020339645082639588
llovio_hoy,0.0014912138740514286
is_holiday,0.0006321504079377108
is_weekend,0.0006027957332481116
lluvia_fuerte,0.0
