date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2024-09-09,2024,9,9,Monday,0,False,False,False,True,False,False,1,3
2024-09-10,2024,9,10,Tuesday,1,False,False,False,True,False,False,1,4
2024-09-11,2024,9,11,Wednesday,2,False,False,False,True,False,False,1,5
2024-09-12,2024,9,12,Thursday,3,False,False,False,True,False,False,1,6
2024-09-13,2024,9,13,Friday,4,False,True,False,True,False,False,1,0
2024-09-14,2024,9,14,Saturday,5,True,False,False,False,False,False,1,1
2024-09-15,2024,9,15,Sunday,6,True,True,False,False,False,True,1,0
2024-09-16,2024,9,16,Monday,0,False,False,True,False,False,False,2,1
2024-09-17,2024,9,17,Tuesday,1,False,False,False,True,True,False,2,2
2024-09-18,2024,9,18,Wednesday,2,False,False,False,True,False,False,2,3
2024-09-19,2024,9,19,Thursday,3,False,False,False,True,False,False,2,4
2024-09-20,2024,9,20,Friday,4,False,True,False,True,False,False,2,0
2024-09-21,2024,9,21,Saturday,5,True,False,False,False,False,False,2,1
2024-09-22,2024,9,22,Sunday,6,True,False,False,False,False,False,2,2
2024-09-23,2024,9,23,Monday,0,False,False,False,True,False,False,2,3
2024-09-24,2024,9,24,Tuesday,1,False,False,False,True,False,False,2,4
2024-09-25,2024,9,25,Wednesday,2,False,False,False,True,False,False,2,5
2024-09-26,2024,9,26,Thursday,3,False,False,False,True,False,False,2,6
2024-09-27,2024,9,27,Friday,4,False,True,False,True,False,False,2,0
2024-09-28,2024,9,28,Saturday,5,True,False,False,False,False,False,2,1
2024-09-29,2024,9,29,Sunday,6,True,False,False,False,False,False,2,2
2024-09-30,2024,9,30,Monday,0,False,True,False,True,False,False,2,0
2024-10-01,2024,10,1,Tuesday,1,False,True,False,True,False,False,1,0
2024-10-02,2024,10,2,Wednesday,2,False,False,False,True,False,False,1,1
2024-10-03,2024,10,3,Thursday,3,False,False,False,True,False,False,1,2
2024-10-04,2024,10,4,Friday,4,False,True,False,True,False,False,1,0
2024-10-05,2024,10,5,Saturday,5,True,False,False,False,False,False,1,1
2024-10-06,2024,10,6,Sunday,6,True,False,False,False,False,False,1,2
2024-10-07,2024,10,7,Monday,0,False,False,False,True,False,False,1,3
2024-10-08,2024,10,8,Tuesday,1,False,False,False,True,False,False,1,4
2024-10-09,2024,10,9,Wednesday,2,False,False,False,True,False,False,1,5
2024-10-10,2024,10,10,Thursday,3,False,False,False,True,False,False,1,6
2024-10-11,2024,10,11,Friday,4,False,True,False,True,False,False,1,0
2024-10-12,2024,10,12,Saturday,5,True,False,False,False,False,False,1,1
2024-10-13,2024,10,13,Sunday,6,True,False,False,False,False,False,1,2
2024-10-14,2024,10,14,Monday,0,False,False,False,True,False,False,1,3
2024-10-15,2024,10,15,Tuesday,1,False,True,False,True,False,False,1,0
2024-10-16,2024,10,16,Wednesday,2,False,False,False,True,False,False,2,1
2024-10-17,2024,10,17,Thursday,3,False,False,False,True,False,False,2,2
2024-10-18,2024,10,18,Friday,4,False,True,False,True,False,False,2,0
2024-10-19,2024,10,19,Saturday,5,True,False,False,False,False,False,2,1
2024-10-20,2024,10,20,Sunday,6,True,False,False,False,False,False,2,2
2024-10-21,2024,10,21,Monday,0,False,False,False,True,False,False,2,3
2024-10-22,2024,10,22,Tuesday,1,False,False,False,True,False,False,2,4
2024-10-23,2024,10,23,Wednesday,2,False,False,False,True,False,False,2,5
2024-10-24,2024,10,24,Thursday,3,False,False,False,True,False,False,2,6
2024-10-25,2024,10,25,Friday,4,False,True,False,True,False,False,2,0
2024-10-26,2024,10,26,Saturday,5,True,False,False,False,False,False,2,1
2024-10-27,2024,10,27,Sunday,6,True,False,False,False,False,False,2,2
2024-10-28,2024,10,28,Monday,0,False,False,False,True,False,False,2,3
2024-10-29,2024,10,29,Tuesday,1,False,False,False,True,False,False,2,4
2024-10-30,2024,10,30,Wednesday,2,False,False,False,True,False,False,2,5
2024-10-31,2024,10,31,Thursday,3,False,True,False,True,False,False,2,0
2024-11-01,2024,11,1,Friday,4,False,True,False,True,False,True,1,0
2024-11-02,2024,11,2,Saturday,5,True,False,True,False,False,False,1,1
2024-11-03,2024,11,3,Sunday,6,True,False,False,False,True,False,1,2
2024-11-04,2024,11,4,Monday,0,False,False,False,True,False,False,1,3
2024-11-05,2024,11,5,Tuesday,1,False,False,False,True,False,False,1,4
2024-11-06,2024,11,6,Wednesday,2,False,False,False,True,False,False,1,5
2024-11-07,2024,11,7,Thursday,3,False,False,False,True,False,False,1,6
2024-11-08,2024,11,8,Friday,4,False,True,False,True,False,False,1,0
2024-11-09,2024,11,9,Saturday,5,True,False,False,False,False,False,1,1
2024-11-10,2024,11,10,Sunday,6,True,False,False,False,False,False,1,2
2024-11-11,2024,11,11,Monday,0,False,False,False,True,False,False,1,3
2024-11-12,2024,11,12,Tuesday,1,False,False,False,True,False,False,1,4
2024-11-13,2024,11,13,Wednesday,2,False,False,False,True,False,False,1,5
2024-11-14,2024,11,14,Thursday,3,False,False,False,True,False,False,1,6
2024-11-15,2024,11,15,Friday,4,False,True,False,True,False,False,1,0
2024-11-16,2024,11,16,Saturday,5,True,False,False,False,False,False,2,1
2024-11-17,2024,11,17,Sunday,6,True,False,False,False,False,True,2,2
2024-11-18,2024,11,18,Monday,0,False,False,True,False,False,False,2,3
2024-11-19,2024,11,19,Tuesday,1,False,False,False,True,True,False,2,4
2024-11-20,2024,11,20,Wednesday,2,False,False,False,True,False,False,2,5
2024-11-21,2024,11,21,Thursday,3,False,False,False,True,False,False,2,6
2024-11-22,2024,11,22,Friday,4,False,True,False,True,False,False,2,0
2024-11-23,2024,11,23,Saturday,5,True,False,False,False,False,False,2,1
2024-11-24,2024,11,24,Sunday,6,True,False,False,False,False,False,2,2
2024-11-25,2024,11,25,Monday,0,False,False,False,True,False,False,2,3
2024-11-26,2024,11,26,Tuesday,1,False,False,False,True,False,False,2,4
2024-11-27,2024,11,27,Wednesday,2,False,False,False,True,False,False,2,5
2024-11-28,2024,11,28,Thursday,3,False,False,False,True,False,False,2,6
2024-11-29,2024,11,29,Friday,4,False,True,False,True,False,False,2,0
2024-11-30,2024,11,30,Saturday,5,True,True,False,False,False,False,2,0
2024-12-01,2024,12,1,Sunday,6,True,True,False,False,False,False,1,0
2024-12-02,2024,12,2,Monday,0,False,False,False,True,False,False,1,1
